Player Name,Rounds,Fairway Percentage,Year,Avg Distance,gir,Average Putts,Average Scrambling,Average Score,Points,Wins,Top 10,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Money
Stephen Ames,75,66.47,2010,282,67.79,29.15,59.67,70.639,548,0,1,0.375,0.553,0.011,0.054,0.12,"916,527"
Kevin Na,94,66.46,2010,278.6,65.89,28.57,64.45,70.314,804,0,3,0.493,0.854,-0.247,0.333,0.276,"2,021,815"
Will MacKenzie,72,66.33,2010,290.8,68.52,29.78,59.31,70.918,267,0,0,-0.448,0.202,0.363,0.177,0.103,"557,504"
Justin Bolli,55,66.28,2010,281.8,64.85,30.2,54.52,72.881,6,0,0,-0.558,-1.918,-0.475,-0.463,-0.423,"73,990"
Steve Flesch,78,66.02,2010,277.4,62.76,29.19,55.04,72.041,272,0,1,-0.078,-0.651,-0.386,-0.493,0.309,"440,374"
K.J. Choi,82,65.99,2010,283.1,68.52,29.23,62.67,70.099,922,0,2,0.054,0.984,0.151,0.507,0.269,"2,199,962"
Charles Warren,64,65.93,2010,302.5,71.74,30.28,54.58,70.917,116,0,1,-0.411,0.109,0.581,0.327,-0.387,"574,616"
Chris Couch,66,65.87,2010,292.4,66.5,28.77,56.28,70.948,472,0,2,0.302,0.307,0.444,-0.242,-0.199,"888,146"
James Nitties,92,65.69,2010,286.2,66.47,29.27,58.19,71.277,338,0,1,0.133,-0.262,-0.188,0.058,-0.258,"525,034"
Kevin Streelman,90,65.64,2010,290.3,66.67,29.07,56.59,70.727,460,0,3,0.044,0.13,0.478,-0.236,-0.155,"1,472,349"
Briny Baird,87,65.45,2010,282,69.41,29.65,61.49,70.639,458,0,1,-0.026,0.169,-0.2,0.334,0.054,"753,577"
Rod Pampling,77,65.45,2010,283.5,64.94,29.49,59.47,71.501,275,0,0,-0.247,-0.314,0.068,-0.356,0.22,"299,264"
Paul Stankowski,62,65.38,2010,290.3,70.88,29.35,55.48,70.354,296,0,2,0.332,0.561,0.016,0.377,-0.16,"666,591"
Mathew Goggin,85,65.24,2010,289.3,69.74,30.33,54.21,71.672,267,0,1,-0.377,-0.501,0.264,-0.177,-0.209,"483,537"
Pat Perez,90,65.23,2010,287.1,68.95,28.91,62.23,70.593,534,0,3,0.379,0.572,-0.005,-0.001,0.199,"947,588"
Bo Van Pelt,104,65.23,2010,292,69.23,29.31,62.33,69.955,"1,272",0,6,0.098,1.192,0.724,0.26,0.107,"3,336,258"
Spencer Levin,110,65.12,2010,280.6,69.88,29.33,58.95,70.385,646,0,1,0.132,0.564,0.054,0.413,-0.034,"1,199,672"
J.J. Henry,92,65.07,2010,292.8,68.72,29.7,59.62,70.772,598,0,2,0.217,0.36,0.383,-0.19,-0.052,"1,035,688"
J.P. Hayes,79,64.91,2010,281,66,28.95,55.77,70.981,439,0,3,0.027,-0.035,0.039,-0.4,0.304,"862,523"
Retief Goosen,75,64.79,2010,291.4,65.96,28.65,63.91,69.718,"1,068",0,8,0.679,1.598,0.337,0.185,0.395,"3,218,089"
Robert Allenby,76,64.75,2010,289.1,68.17,29.31,56.37,70.131,"1,169",0,4,0.137,1.156,0.403,0.642,-0.031,"2,974,997"
Henrik Bjornstad,72,64.74,2010,288.1,69.11,30.21,49.59,71.722,188,0,0,-0.211,-0.626,-0.022,0.096,-0.49,"215,913"
