Player,EVENTS_PLAYED,POINTS,NUMBER_OF_WINS,NUMBER_OF_TOP_Tens,SG_PUTTING_PER_ROUND,AVG_Driving_DISTANCE,SG_PER_ROUND,SG:OTT,SG:APR,SG:ARG,SG_PUTTING_PER_ROUND,AVG_SCORE,HOLES_PLAYED,AGE,
Chris Kirk,28,834,0,4,0.112,290.2,0.679,-0.041,0.529,0.19,0.112,70.411,1908,34,
Chris Stroud,27,255,0,1,0.053,289.8,-0.391,-0.277,-0.056,-0.058,0.053,71.628,1314,32,
Cody Gribble,25,141,0,0,0.201,301,-1.02,-0.212,-0.696,-0.111,0.201,72.112,1170,27,
Conrad Shindler,20,92,0,0,-0.167,291.3,-0.146,0.114,-0.008,-0.252,-0.167,71.465,1008,30,
Corey Conners,28,353,0,1,-0.385,303.3,0.579,0.501,0.275,-0.198,-0.385,70.743,1674,26,
D.A. Points,25,162,0,1,0.11,280.8,-1.559,-1.069,-0.541,0.051,0.11,73.019,1098,41,
Daniel Berger,23,839,0,1,0.18,298,0.493,0.149,0.509,-0.166,0.18,70.32,1368,25,
Daniel Summerhays,19,89,0,1,0.736,287.1,-2.84,-0.977,-1.586,-0.277,0.736,73.177,810,34,
Danny Lee,30,587,0,3,0.156,290.6,-0.099,0.005,-0.155,0.051,0.156,71.196,1548,28,
David Hearn,21,315,0,2,-0.127,285.1,0.095,-0.17,0.379,-0.113,-0.127,71.325,1080,39,
David Lingmerth,26,274,0,0,0.229,285.4,-0.235,0.006,-0.16,-0.081,0.229,71.043,1404,31,
Denny McCarthy,22,267,0,1,0.449,295.4,-0.355,0.011,-0.347,-0.019,0.449,70.861,1134,25,
Derek Fathauer,28,316,0,1,0.363,289.1,-1.17,-0.757,-0.365,-0.048,0.363,71.827,1440,27,
Dominic Bozzelli,20,190,0,0,0.308,297,-0.363,-0.244,-0.252,0.133,0.308,71.179,1170,26,
Emiliano Grillo,24,1252,0,6,0.574,294.7,0.755,0.413,0.434,-0.092,0.574,70.152,1656,25,
